longitude,latitude,height_meters
12.4980001,41.8893645,3.0
12.4979808,41.8893013,3.0
12.4979449,41.8891838,3.0
12.4977436,41.8892179,3.0
12.4977795,41.8893354,3.0
12.4977149,41.8893451,3.0
12.4977167,41.8893599,3.0
12.4976262,41.8893761,3.0
12.4976587,41.8894616,3.0
12.4975582,41.8894782,3.0
12.4974703,41.8894968,3.0
12.497467,41.8895104,3.0
12.4974573,41.8895248,3.0
12.497436,41.889533,3.0
12.4974122,41.8895326,3.0
12.4973971,41.8895273,3.0
12.4973831,41.8895126,3.0
12.497281,41.889531,3.0
12.4972653,41.8894753,3.0
12.4972865,41.8894703,3.0
12.4972748,41.8894385,3.0
12.4972723,41.8894315,3.0
12.497257,41.8894306,3.0
12.4972367,41.8894245,3.0
12.4972249,41.8894161,3.0
12.4972154,41.889406,3.0
12.4972091,41.8893885,3.0
12.4972086,41.889373,3.0
12.4972168,41.8893582,3.0
12.4972272,41.8893461,3.0
12.4972392,41.8893405,3.0
12.4972359,41.8893314,3.0
12.4972061,41.8893366,3.0
12.4971652,41.8893324,3.0
12.4971631,41.8893265,3.0
12.497153,41.8892994,3.0
12.4971784,41.8892783,3.0
12.4972159,41.8892685,3.0
12.4972143,41.889264,3.0
12.497509,41.8892067,3.0
12.4976543,41.8891786,3.0
12.4977016,41.889169,3.0
12.4979268,41.8891244,3.0
12.4980069,41.8891109,3.0
12.4980356,41.8892046,3.0
12.4980703,41.8891988,3.0
12.4980861,41.8892504,3.0
12.4980537,41.8892559,3.0
12.4980826,41.8893505,3.0
12.4980001,41.8893645,3.0
12.4988293,41.8842086,18.0
12.4990332,41.8839767,18.0
12.4993192,41.8841148,18.0
12.499135,41.8843456,18.0
12.4988293,41.8842086,18.0
12.4984791,41.8840612,18.0
12.4987002,41.883809,18.0
12.4989177,41.8839212,18.0
12.4987136,41.8841646,18.0
12.4984791,41.8840612,18.0
12.4964904,41.8844593,3.0
12.4965599,41.8843972,3.0
12.4966596,41.8843578,3.0
12.4967388,41.88435,3.0
12.4968095,41.8843585,3.0
12.4968866,41.8843825,3.0
12.4969561,41.8844267,3.0
12.4970078,41.8844888,3.0
